movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Scream 4,40000000,38180928,95989590,W/Dim.,2011
Rio,90000000,143619809,487519809,Fox,2011
The Conspirator,25000000,11538204,15907411,RAtt.,2011
Meek's Cutoff,2000000,977772,1869928,Osci.,2011
Your Highness,50000000,21596445,26121638,Uni.,2011
Soul Surfer,18000000,43853424,47158652,TriS,2011
Hanna,30000000,40259119,65343694,Focus,2011
Source Code,32000000,54712227,140428499,Sum.,2011
The Last Godfather,13400000,164247,164247,RAtt.,2011
Rubber,500000,100370,680914,Magn.,2011
Super,2500000,327716,593933,IFC,2011
Hop,63000000,108085305,188657593,Uni.,2011
Insidious,1500000,54009150,99870886,FD,2011
Sucker Punch,75000000,36392502,89758389,WB,2011
Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,Fox,2011
Limitless,27000000,79249455,155564919,Rela.,2011
Winter in Wartime,5800000,542860,9662214,SPC,2011
Paul,40000000,37412945,101162106,Uni.,2011
The Lincoln Lawyer,40000000,58009200,87145086,LGF,2011
Red Riding Hood,42000000,37662162,91678442,WB,2011
Mars Needs Moms,150000000,21392758,39549758,BV,2011
Battle: Los Angeles,70000000,83552429,213463976,Sony,2011
Beastly,17000000,27865571,38028230,CBS,2011
Take Me Home Tonight,19000000,6928068,7576604,Rela.,2011
Rango,135000000,123477607,245724600,Par.,2011
The Adjustment Bureau,50200000,62495645,126931325,Uni.,2011
Hall Pass,68000000,45060734,87173475,WB (NL),2011
Drive Angry,50000000,10721033,41042583,Sum.,2011
Unknown,40000000,63686397,136123083,WB,2011
"Big Mommas: Like Father, Like Son",32000000,37915414,82332450,Fox,2011
Justin Bieber: Never Say Never,13000000,73013910,99034125,Par.,2011
Cedar Rapids,10000000,6861102,7862131,FoxS,2011
The Eagle,25000000,19490041,38993548,Focus,2011
Just Go With It,80000000,103028109,214974953,Sony,2011
Gnomeo and Juliet,36000000,99967670,193737977,BV,2011
Sanctum,30000000,23209310,108957098,Uni.,2011
The Roommate,16000000,37300107,52545707,SGem,2011
The Rite,37000000,33047633,97143987,WB (NL),2011
Biutiful,35000000,5101237,24687524,RAtt.,2011
The Mechanic,42500000,29121498,76347393,CBS,2011
No Strings Attached,25000000,70662220,149228078,Par.,2011
The Green Hornet,110000000,98780042,229155503,Sony,2011
The Dilemma,70000000,48475290,70546865,Uni.,2011
Season of the Witch,40000000,24827228,91126600,Rela.,2011
Blue Valentine,1000000,9737892,16566240,Wein.,2010
Another Year,8000000,3205706,20005613,SPC,2010
Gulliver's Travels,112000000,42779261,232017848,Fox,2010
Little Fockers,100000000,148438600,310650574,Uni.,2010
True Grit,35000000,171243005,252276928,Par.,2010
Somewhere,7000000,1785645,17023121,Focus,2010
Country Strong,15000000,20218921,20601987,SGem,2010
Yogi Bear,80000000,100246011,204774690,WB,2010
Casino Jack,12500000,2039869,2272186,ATO,2010
Rabbit Hole,5000000,2229058,6205034,LGF,2010
The Tourist,100000000,67631157,278731369,Sony,2010
The Tempest,20000000,277943,277943,Mira.,2010
The Fighter,11000000,93617009,129262388,Par.,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,Fox,2010
All Good Things,20000000,582024,873617,Magn.,2010
The Warrior's Way,42000000,5666340,8514325,Rela.,2010
Black Swan,13000000,106954678,331266710,FoxS,2010
"I Love You, Phillip Morris",13000000,2037459,23014027,RAtt.,2010
Love and Other Drugs,30000000,32367005,102716321,Fox,2010
The Nutcracker in 3D,90000000,195459,20466016,Free,2010
Burlesque,55000000,39440655,90552675,SGem,2010
Faster,24000000,23240020,35792945,CBS,2010
Tangled,260000000,200821936,586477240,BV,2010
The Next Three Days,30000000,21148651,67255916,LGF,2010
Made in Dagenham,8000000,1095369,15644196,SPC,2010
Unstoppable,95000000,81562942,165720921,Fox,2010
Tiny Furniture,50000,391674,424149,IFC,2010
Skyline,10000000,21416355,68264973,Uni.,2010
Morning Glory,40000000,31011732,59795070,Par.,2010
127 Hours,18000000,18335230,60217171,FoxS,2010
Megamind,130000000,148415853,321887208,P/DW,2010
For Colored Girls,21000000,37729698,38017873,LGF,2010
Four Lions,3750000,310007,2436111,Drft.,2010
Due Date,65000000,100539043,211739043,WB,2010
Monsters,500000,237301,5639730,Magn.,2010
Welcome to the Rileys,10000000,152857,355919,Gold.,2010
Saw 3D,17000000,45710178,133735284,LGF,2010
Wild Target,8000000,109338,5314194,Free,2010
Paranormal Activity 2,3000000,84752907,177512032,Par.,2010
Carlos,18000000,145526,1619153,IFC,2010
Red,60000000,90380162,196439693,Sum.,2010
Hereafter,50000000,32746941,108660270,WB,2010
Conviction,12500000,6797696,11826980,FoxS,2010
Secretariat,35000000,59699513,60376247,BV,2010
I Spit on Your Grave,1750000,93051,1278471,Anch.,2010
Stone,22000000,1810078,4065020,Over.,2010
Life as We Know It,38000000,53374681,105887837,WB,2010
It's Kind of a Funny Story,8000000,6363628,6632950,Focus,2010
It's a Wonderful Afterlife,10000000,0,1642939,UTV,2010
My Soul to Take,25000000,14744435,16727470,Uni.,2010
Inside Job,2000000,4311834,7799257,SPC,2010
Nowhere Boy,1900000,1445366,7785229,Wein.,2010
Case 39,27000000,13261851,28773827,ParV,2010
Chain Letter,3000000,205842,1022453,NFC,2010
Freakonomics,2900000,101270,172867,Magn.,2010
The Social Network,40000000,96962694,224922135,Sony,2010
Let Me In,20000000,12134935,28270399,Over.,2010
Buried,1987650,1044143,21270290,LGF,2010
Enter the Void,16000000,337997,1467278,IFC,2010
Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,WB,2010
You Again,20000000,25702053,32838945,BV,2010
You Will Meet a Tall Dark Stranger,15000000,3247816,34247816,SPC,2010
The Town,37000000,92186262,152566881,WB,2010
Easy A,8000000,58401464,76200721,SGem,2010
Devil,10000000,33679655,63354114,Uni.,2010
Never Let Me Go,15000000,2434652,11173718,FoxS,2010
Resident Evil: Afterlife,57500000,60128566,295874190,SGem,2010
"Lovely, Still",5000000,127564,282687,Mont.,2010
Machete,12500000,26593646,46370970,Fox,2010
Going the Distance,32000000,17804299,43603990,WB (NL),2010
The American,20000000,35606376,67950723,Focus,2010
Takers,32000000,57744720,70587268,SGem,2010
The Last Exorcism,1800000,41034350,70165900,LGF,2010
Centurion,15000000,123570,7885048,Magn.,2010
Piranha 3D,24000000,25003155,83660160,W/Dim.,2010
Mao's Last Dancer,18000000,4806750,25941437,Gold.,2010
Soul Kitchen,4900000,276901,23347461,IFC,2010
The Switch,19000000,27758465,49858465,Mira.,2010
Vampires Suck,20000000,36661504,81424988,Fox,2010
Eat Pray Love,60000000,80574010,206598789,Sony,2010
The Expendables,82000000,103068524,268268174,LGF,2010
Animal Kingdom,4200000,1044039,8078683,SPC,2010
Flipped,14000000,1755212,4289993,WB,2010
The Disappearance of Alice Creed,1500000,166980,1605139,Anch.,2010
The Other Guys,100000000,119219978,170936470,Sony,2010
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,WB,2010
Get Low,7000000,9176933,10828305,SPC,2010
Charlie St. Cloud,44000000,31206263,48478084,Uni.,2010
Dinner for Schmucks,69000000,73026337,86796502,P/DW,2010
The Extra Man,7000000,453377,492108,Magn.,2010
Ramona and Beezus,15000000,26167002,27469621,Fox,2010
Life During Wartime,4500000,281447,281447,IFC,2010
Salt,130000000,118311368,290650494,Sony,2010
Inception,160000000,292576195,835524642,WB,2010
The Sorcerer's Apprentice,160000000,63150991,217986320,BV,2010
Predators,40000000,52000688,127234389,Fox,2010
The Kids Are All Right,4000000,20811365,36275469,Focus,2010
Despicable Me,69000000,251513985,543464573,Uni.,2010
[Rec] 2,5600000,27766,18527766,Magn.,2010
The Last Airbender,150000000,131772187,319713881,Par.,2010
The Twilight Saga: Eclipse,68000000,300531751,706102828,Sum.,2010
Grown Ups,75000000,162001186,272223430,Sony,2010
Cyrus,7000000,7468936,10062896,FoxS,2010
Toy Story 3,200000000,415004880,1068879522,BV,2010
Jonah Hex,47000000,10547117,11022696,WB,2010
The Killer Inside Me,13000000,217277,3617277,IFC,2010
The A-Team,110000000,77222099,177241171,Fox,2010
The Karate Kid,40000000,176591618,351774938,Sony,2010
Winter's Bone,2000000,6531503,16131551,RAtt.,2010
Splice,30000000,17010170,28542494,WB,2010
Get Him to the Greek,40000000,61153526,91455875,Uni.,2010
Marmaduke,50000000,33644788,89895930,Fox,2010
Killers,75000000,47059963,95572749,LGF,2010
Ondine,12000000,550472,557545,Magn.,2010
Micmacs,42000000,1259693,11756922,SPC,2010
Agora,70000000,619423,38992292,NM,2010
George A. Romero's Survival of the Dead,4200000,101740,101740,Magn.,2010
Sea Rex 3D: Journey to a Prehistoric World,5000000,6096582,16515203,3D,2010
Sex and the City 2,95000000,95347692,294680778,WB (NL),2010
Solitary Man,12500000,4360548,4360548,Anch.,2010
Kites,9200000,1685269,17155193,Relbig.,2010
MacGruber,10000000,8525600,8629895,Uni.,2010
Shrek Forever After,165000000,238736787,756244673,P/DW,2010
Letters to Juliet,30000000,53032453,82148538,Sum.,2010
Just Wright,12000000,21540363,21867665,FoxS,2010
Mother and Child,7000000,1110509,6537179,SPC,2010
Iron Man 2,170000000,312433331,621156389,Par.,2010
Harry Brown,7300000,1818681,12023606,Gold.,2010
Furry Vengeance,35000000,17630465,39340177,Sum.,2010
Housefull,10100000,1183658,18726300,Eros,2010
The Good Heart,3800000,20930,340930,Magn.,2010
Please Give,3000000,4033574,4570178,SPC,2010
The Losers,25000000,23591432,29863840,WB,2010
Oceans,80000000,19422319,86787530,BV,2010
Kick-Ass,28000000,48071303,97531134,LGF,2010
The Perfect Game,12500000,1089445,3931367,IW,2010
The Joneses,10000000,1475746,3541565,RAtt.,2010
The City of Your Final Destination,8300000,493296,1353296,Scre.,2010
After.Life,4500000,108596,2481925,Anch.,2010
Letters to God,3000000,2848587,3237452,Viv.,2010
Date Night,55000000,98711404,152269033,Fox,2010
Leaves of Grass,9000000,70066,85527,First,2010
The Last Song,20000000,62950384,92678948,BV,2010
How to Train Your Dragon,165000000,217581232,494870992,P/DW,2010
Hot Tub Time Machine,36000000,50269859,65967750,MGM,2010
The Eclipse,3000000,133411,133411,Magn.,2010
Chloe,13000000,3075255,11831131,SPC,2010
City Island,6000000,6671283,8173486,Anch.,2010
The Bounty Hunter,45000000,67061228,135808837,Sony,2010
The Runaways,9500000,3573673,5278632,App.,2010
Repo Men,32000000,13942007,18195238,Uni.,2010
Diary of a Wimpy Kid,15000000,64003625,76954311,Fox,2010
She's Out of My League,20000000,32010860,48680977,Par.,2010
Remember Me,16000000,19068240,56506120,Sum.,2010
Green Zone,100000000,35497337,97523020,Uni.,2010
Our Family Wedding,14000000,20255281,21410546,FoxS,2010
The Secret of Kells,8000000,690290,3582797,GK,2010
Brooklyn's Finest,17000000,27163593,39233233,Over.,2010
The Crazies,19000000,39123589,56445534,Over.,2010
Cop Out,37000000,44875481,55909910,WB,2010
The Ghost Writer,45000000,15541549,65532491,Sum.,2010
Shutter Island,80000000,128012934,299461782,Par.,2010
Valentine's Day,52000000,110485654,217569328,WB (NL),2010
The Wolfman,150000000,62189884,142634358,Uni.,2010
My Name is Khan,8470000,4046336,42355526,FoxS,2010
Dear John,25000000,80014842,142033509,SGem,2010
Ajami,1000000,621859,2721096,Kino,2010
Edge of Darkness,60000000,43313890,82812456,WB,2010
Saint John of Las Vegas,2000000,102645,102645,IVP,2010
Tooth Fairy,48000000,60022256,112610386,Fox,2010
To Save a Life,500000,3777210,3824868,Gold.,2010
Extraordinary Measures,31000000,12482741,15826984,CBS,2010
The Book of Eli,80000000,94835059,158750817,WB,2010
Fish Tank,3000000,374675,5922292,IFC,2010
The Spy Next Door,28000000,24307106,46752858,LGF,2010
The Last Station,18000000,6617867,15696146,SPC,2010
Youth in Revolt,18000000,15285588,19685588,W/Dim.,2010
Leap Year,19000000,25918920,32618920,Uni.,2010
Daybreakers,20000000,30101577,51445503,LGF,2010
The Journey,500000,19800,19800,IFC,2017
City of Ghosts,17500000,325491,325491,IFC,2017
Jackpot,400000,44452,44452,DR,2014
Evolution,80000000,38311134,98341932,IFC,2016
Playing for Keeps,35000000,2000000,2000000,FD,2012
Point Blank,3000000,0,0,Magn.,2011
