movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577,Fox,2017
"Everything, Everything",10000000,34121140,61603136,WB,2017
The Wall,3000000,1803064,4495262,RAtt.,2017
King Arthur: Legend of the Sword,175000000,39175066,139630336,WB,2017
Snatched,42000000,45852178,57852177,Fox,2017
Baahubali 2: The Conclusion,30000000,18985794,263502914,GrtIndia,2017
Free Fire,10000000,1799322,3793739,A24,2017
The Lost City of Z,30000000,8574339,17121823,BST,2017
The Fate of the Furious,250000000,225764765,1234846267,Uni.,2017
Smurfs: The Lost Village,60000000,45020282,197578586,Sony,2017
Gifted,7000000,24801212,36964656,FoxS,2017
The Boss Baby,125000000,175003033,510878762,Fox,2017
T2: Trainspotting,18000000,2402004,42091262,TriS,2017
Kong: Skull Island,185000000,168052812,561072059,WB,2017
Table 19,5000000,3614896,4620399,FoxS,2017
Before I Fall,5000000,12241072,18945682,ORF,2017
Collide,29200000,2280004,5466698,ORF,2017
Rock Dog,60000000,9420546,24148488,LG/S,2017
Get Out,5000000,176040665,255367951,Uni.,2017
Fist Fight,25000000,32187017,40286416,WB (NL),2017
The Great Wall,150000000,45157105,334486852,Uni.,2017
Fifty Shades Darker,55000000,114434010,381398492,Uni.,2017
John Wick: Chapter Two,40000000,92029184,171350009,LG/S,2017
Rings,25000000,27793018,82917283,Par.,2017
The Space Between Us,30000000,7885294,16481405,STX,2017
Resident Evil: The Final Chapter,40000000,26844692,314101190,SGem,2017
The Founder,15000000,12786053,24403192,Wein.,2017
Split,5000000,138141585,278964806,Uni.,2017
Monster Trucks,125000000,33370166,61642798,Par.,2017
The Bye Bye Man,7400000,22395806,31187727,STX,2017
A Monster Calls,43000000,3740823,46414530,Focus,2016
Underworld: Blood Wars,35000000,30353973,81209222,SGem,2017
Paterson,5000000,2141423,10727536,BST,2016
Hidden Figures,25000000,169607287,231771716,Fox,2016
Why Him?,38000000,60323786,117425156,Fox,2016
Dangal,9500000,12391761,294654618,UTV,2016
Sing,75000000,270329045,634454789,Uni.,2016
Patriots Day,40000000,31886361,52837989,LGF,2016
Rogue One: A Star Wars Story,200000000,532177324,1049102856,BV,2016
Fences,24000000,57682904,64282881,Par.,2016
Collateral Beauty,36000000,31016021,85309093,WB (NL),2016
Office Christmas Party,45000000,54767494,91323299,Par.,2016
La La Land,20000000,151101803,426351163,LG/S,2016
Incarnate,5000000,4799774,9371036,BH Tilt,2016
Jackie,9000000,13960394,36588512,FoxS,2016
Believe,3500000,890303,890303,ORF,2013
Miss Sloane,18000000,3500605,7719630,EC,2016
Lion,12000000,51739495,149570720,Wein.,2016
Allied,106000000,40098064,119266661,Par.,2016
Moana,150000000,248757044,637517365,BV,2016
The Edge of Seventeen,9000000,14431633,19096003,STX,2016
A Street Cat Named Bob,8000000,82703,17382693,Cleopatra,2016
Manchester by the Sea,8500000,47695371,77733867,RAtt.,2016
Bleed for This,16000000,5083906,6603926,ORF,2016
Nocturnal Animals,22500000,10663357,32398681,Focus,2016
Almost Christmas,17000000,42065185,42493506,Uni.,2016
Arrival,47000000,100546139,203127894,Par.,2016
Shut In,10000000,6900335,11360665,EC,2016
Trolls,125000000,153707064,344150134,Fox,2016
Loving,9000000,7710234,12898064,Focus,2016
Hacksaw Ridge,40000000,67209615,168904682,LGF,2016
Doctor Strange,165000000,232641920,676404566,BV,2016
Inferno,75000000,34343574,219519367,Sony,2016
Jack Reacher: Never Go Back,60000000,58697076,159946489,Par.,2016
Ouija: Origin of Evil,9000000,35144505,81831866,Uni.,2016
Max Steel,10000000,3818664,4563080,ORF,2016
The Accountant,40000000,86260045,152962083,WB,2016
The Girl on the Train,45000000,75395035,174278214,Strand,2010
Middle School: The Worst Years of My Life,8500000,20007149,23311293,LGF,2016
Deepwater Horizon,156000000,61433527,122603824,LG/S,2016
American Honey,3500000,663247,2611750,A24,2016
Denial,10000000,4073448,9263940,BST,2016
The Dressmaker,11900000,2022115,24041617,BG,2016
Storks,70000000,72679278,183353431,WB,2016
Queen of Katwe,15000000,8874389,10055481,BV,2016
Blair Witch,10000000,20777061,38985577,LGF,2016
Snowden,50000000,21587519,35380918,ORF,2016
When the Bough Breaks,10000000,29747603,30768449,SGem,2016
Sully,60000000,125070033,238524556,WB,2016
The Disappointments Room,15000000,2423467,3503761,Rela.,2016
Morgan,8000000,3915251,7298786,Fox,2016
The Light Between Oceans,20000000,12545979,22281732,BV,2016
Mechanic: Resurrection,40000000,21218403,109738840,LG/S,2016
Hands of Stone,20000000,4712792,5031975,Wein.,2016
Kubo and the Two Strings,55000000,48023088,77548122,Focus,2016
War Dogs,50000000,43034523,86234503,WB,2016
Hell or High Water,12000000,27007844,37584304,LGF,2016
Sausage Party,19000000,97670358,141344255,Sony,2016
Florence Foster Jenkins,29000000,27383770,56000339,Par.,2016
Operation Chromite,12700000,1022720,49196532,CJ,2016
Suicide Squad,175000000,325100054,746059887,WB,2016
Jason Bourne,120000000,162192920,416168316,Uni.,2016
Bad Moms,20000000,113257297,180998716,STX,2016
Nerve,20000000,38583626,70652284,LGF,2016
Ice Age: Collision Course,105000000,64063008,402156682,Fox,2016
Star Trek Beyond,185000000,158848340,335802233,Par.,2016
Lights Out,5000000,67268835,148806510,WB (NL),2016
The Infiltrator,47500000,15436808,20718104,BG,2016
The Secret Life of Pets,75000000,368384330,886750534,Uni.,2016
Mike and Dave Need Wedding Dates,33000000,46009673,75898100,Fox,2016
Sultan,11000000,5599781,72989781,Yash,2016
The Purge: Election Year,10000000,79042440,118514727,Uni.,2016
The BFG,140000000,55483770,199646680,BV,2016
The Legend of Tarzan,180000000,126643061,348902025,WB,2016
Swiss Army Man,3000000,4210454,5837111,A24,2016
Independence Day: Resurgence,165000000,103144286,384169424,Fox,2016
The Neon Demon,7500000,1333124,3559803,BG,2016
Hunt for the Wilderpeople,2500000,5205471,23845533,Orch.,2016
Free State of Jones,50000000,20810036,23237252,STX,2016
The Shallows,13000000,55121623,118763442,Sony,2016
Central Intelligence,50000000,127440871,217194805,WB (NL),2016
Finding Dory,200000000,486295561,1021215193,BV,2016
Now You See Me 2,90000000,65075540,328325007,LG/S,2016
Warcraft,160000000,47225655,425522281,Uni.,2016
Genius,17000000,1361045,7265283,RAtt.,2016
